,full_text
0,"@newakunsir @Bonklana setiap post twitter drap drop si asu ini, kebelet rame apa gmn"
1,@Bonklana drap drop ora di kirim2 cok
2,"@solanium_io walaupun project lama yg mau bangkit, gas paste terus  B5EAemfLDSmms9dUSW6q2dJqbJ4AD1Zu73N87U62Lkn3"
3,Ini akun bitcoin nyebelin deh
4,@solanium_io 2MeMmqwWCTN3CrhGZcaQkFKFADTrRrP7Li9ekje2rcH2
5,"Hasil live draw Grabpools Result : 7014 Shio : Harimau Selamat kepada para pemenang, Salam Jackpot !       #8080sport #togelgrabpools #Bitcoin"
6,@Siro_gane Kiri sebelum bitcoin muncul ke era pasar digital 🥹
7,"ngomongin si SOCMED (JOKOWER SEKALIGUS BUZZERp &amp  AHOKER 2017)😂😂😂 Gw diblokir gara2 gw DITANTANGIN TARUHAN SOAL $Bitcoin #Bitcoin    #Bitcoincrash th 2022 bkn Feb😂 Jika gw kalah, gw hrs bayar admin 20jeti (totalnya ada 5 admin=100 jeti). Blm lagi saat Socmed vs Pak @poltak"
8,@Tokocrypto Menurut pak yudho Apakah Bitcoin akan mencapai rekor tertinggi baru pada tahun 2024?  Serta apa nih kripto jagoan pak yudho
9,@arimancer13 @ilhampurnama887 Selama itu ada gunanya... Ya gk masalah di beli😅 Bitcoin awal nya juga punya marketcapt yg kecil🤣
10,@Tokocrypto Apakah rencana ETF BTC disetujui di Amerika Serikat mempengaruhi harga Bitcoin dan altcoin? Atau hanya bitcoin saja
11,"@Tokocrypto Apakah ada altcoin yang berpotensi menjadi killer"" Bitcoin?"""
12,@Bitcoin_Whales_ GM WAMI 🐳 @Jim24732014
13,@Tokocrypto Apa faktor-faktor yang mempengaruhi kinerja Bitcoin dan altcoin sepanjang tahun 2023? Dari sudut pandang pak yudho
14,@dudeitsokay @ANI BTC matlab Bitcoin na😂
15,@hoteliercrypto Korelasi sma bitcoin apa bli?😁
16,@alasirimotors Saa unajiona umejua Mombasa
17,@Nauman_Angel Lambo in 2024? Bhai pora portfolio ur jaye ga. 😂
18,@stephanie_adlne Ahh takda2 lawan la tak kan nak folo je semua
19,@Eil_Thia @yuki__bitcoin @jokowi Yg bilang uang nya Jokowi siapa???
20,@Tokocrypto Skrg2 ini kan sedang ramai approve ETF Bitcoin/ETH. Nah apasih bedanya ETF yg diajukan Blackrock dkk dengan koin ETF yg di tradingkan di @Tokocrypto? #ExchangeIndonesia
21,@sickhomieee Pakistani bomb.
22,@dora_doremii Mama: https://t.co/7s0uzmDbJG
23,lepastu hari khamis ada kemungkinan bitcoin naik lagi
24,@HaiYenDao22 @picoin @Bitcoin @ethereum Okok.💕
25,"Hasil live draw JAPAN,  12 Desember 2023 Result 1 : 5964 - Shio : Tikus Result 2 : 7967 Result 3 : 6346 Selamat kepada para pemenang! #legiontoto #situstogelonline #agentogelonline #ConcertENGFAinCambodia #slotgacor #Bitcoin #viralindo #Chika #Desember #Ngekos #Selingkuh3x"
26,@bitcoin_i @macro_muscle @fogRa9fgbgJ73dd @pepo_pon_pepon @JoaquinMQ917 gm ma bro 🙏☕
27,@yuki__bitcoin @jokowi Itu bukan Uangnya Jokowi lho. Itu uang jamaah yang ditabung dikit dikit supaya bisa ibadah Haji
28,Yang nomor 2 itu ada di Partai Socmed. Crypto Bitcoin mania.
29,@Stake @elonmusk @Bitcoin @Stake  Username:ayhamsalam
30,Obligasi #Bitcoin El Salvador yang telah lama dinantikan menunjukkan titik terang.  https://t.co/N2lsyFhwHj
31,@RadioGenoa Allah Watbar
32,#Portfolio :RE #Branding #X🔥 Full #Project :https://t.co/aeF6AO5RHB  #WhatsApp 4 #business :https://t.co/woCktaKCgC  #Logodesigner #KoniecPiS Kanye #BBReindeerGames Hobi #twitchrecap #SPOTY #Bitcoin #12Dicembre #grandefratello #EPlenary Russia #America #Luxembourg #COP28 #Gaza https://t.co/FpAoHGBX1a
33,"😁#SalaviSpot  Relate? Terkadang, ini terjadi dalam kehidupan kripto 🤣  📊Perdagangkan Bitcoin di sini (https://t.co/BXMSNLuMcP)✨ https://t.co/Q9eUd3oktF"
34,Analis Sebut Reli Bitcoin Melandai tapi Bisa Naik Lagi https://t.co/gNPsGeraA0
35,"@AldoAlexandro5 @hoteliercrypto Segala sesuatu yang sifatnya duniawi itu halal sampai di temukan dalil yang mengaharamkan  Jadi di sini butuh diskusi antara ahli kripto dengan ulamanya,karna  alasan2 ulama menggabarkan ulama2 tersebut tidak faham tentang bitcoin,uang atau ekonomi"
36,"Selama sebelas pekan berturut-turut transaksi aset digital mencatatkan angka yang positif. Pada pekan lalu, awal Desember, transaksi digital mencapai US$43 juta atau setara Rp671 miliar dan Bitcoin memimpin transaksi terbesarnya.  Read More: https://t.co/UasGXGF2V3 https://t.co/tBuiQN0MlH"
37,"@AldoAlexandro5 @hoteliercrypto Gini bro sisi pengharamannya gua tulis di situ...  Dan menurut gua,sisi2 pengharaman  tersebut tidak sesuai dengan bitcoin.jadi yang saya tanyakan di sini bukan halal atau haramnya tapi lebih ke apakah bener bitcoin itu seperti yang mereka katakan?"
38,AKUN CRYPTO SAMA BITCOIN STOP REPLY TWEET GUE KAMPRET EMOSI LAMA2
39,"@Hunting_Bitcoin @landxfinance @apegang666 @SuiEchi Ikutin event lainya kak, tetap semangat   -wh"
40,@IceNetworkMedia Lebih dari bitcoin
41,"#Bitcoin #BuyTheDip: Harga Bitcoin turun menjelang rilis data CPI AS, peluang buy the dip untuk investor! https://t.co/NLSND2croF"
42,"Bitcoin (BTC) turun sejak Senin. Meskipun demikian, Bitcoin masih berpeluang cuan. Mengingat tren bullish Bitcoin tetap terjaga.   https://t.co/FVZIgYnq1M #InvestorDaily #Keuangan #Investor"
43,GM #Ordinals gang! https://t.co/6uyknDF6uZ
44,@bl0ckchainsavvy @HIM_SATS @Bitcoin_Whales_ WAMI🤜🏼🤛🏻 ✨
45,@yuki__bitcoin @jokowi Anda tahu apa tentang ibadah umat muslim
46,⚡️ Apa itu Bitcoin ETF? 3 Tanda BTC Bull Run 2024! | Crypto Uni Ep. 57  Tonton di bawah: 👇🏻  https://t.co/InxUR9MwG2
47,"Melalui keuntungannya pada lonjakan nilai Bitcoin, Microstrategy menempati posisi pertama dalam kepemilikan Bitcoin (BTC) terbanyak oleh investor investasi.  #InstitutionalBTCholders #SobatCyra #Bitcoin #cryptotrading #cryptonews https://t.co/MxFMiRiu4c"
48,"Tidak ingin kalah saing dengan investor ritel dan VIP, investor institusi tingkatkan kepemilikan Bitcoin (BTC)📈  Kira-kira selain Microstrategy ada apa lagi ya? Check it out!  #InstitutionalBTCholders #SobatCyra #Bitcoin #cryptotrading #cryptonews https://t.co/M6i8NzHWch"
49,"Saat ini, 1 BTC setara dengan 41.892,76 USD (654 juta). Ini bukan titik tertinggi. Pada bulan Oktober 2021, nilai 1 Bitcoin pernah mencapai Rp 930 juta. Dan 1 ETH saat ini bernilai 2.228 USD (34 juta). Nilai 1 ETH bahkan sempat mencapai Rp 67,3 juta"
50,@TroyCaylak @Ordinauts @davekebo @Bitcoin_Whales_ Wami!
